USER_ID,ITEM_ID,EVENT_TYPE,EVENT_VALUE,DEVICE,TIMESTAMP,IMPRESSION,RECOMMENDATION_ID
2,7,BOUNTY_SOLUTION_AWARDED,3.0,,1760218086,,
2,12,BOUNTY_SOLUTION_AWARDED,3.0,,1760259002,,
1,8,BOUNTY_CREATED,3.0,,1760217471,,
1,7,BOUNTY_CREATED,3.0,,1760217503,,
1,12,BOUNTY_CREATED,3.0,,1760257975,,
2,12,BOUNTY_CONTRIBUTED,2.0,,1760258727,,
1,10,RFP_CREATED,3.0,,1760255370,,
1,10,RFP_APPLIED,3.0,,1760260553,,
2,10,RFP_APPLIED,3.0,,1760260941,,
1,7,PROPOSAL_CREATED,3.0,,1760216807,,
2,14,PROPOSAL_CREATED,3.0,,1760260762,,
1,12,PROPOSAL_CREATED,3.0,,1760257941,,
2,7,PROPOSAL_FUNDED,3.0,,1760261324,,
2,7,PROPOSAL_FUNDED,3.0,,1760261480,,
3,7,PROPOSAL_FUNDED,3.0,,1760261710,,
2,7,PEER_REVIEW_CREATED,2.5,,1760218007,,
2,12,PEER_REVIEW_CREATED,2.5,,1760258906,,
3,7,COMMENT_CREATED,1.5,,1760262901,,
3,7,COMMENT_CREATED,1.5,,1760262930,,
3,7,COMMENT_CREATED,1.5,,1760262921,,
3,6,COMMENT_CREATED,1.5,,1760263926,,
1,12,COMMENT_CREATED,1.5,,1760265559,,
3,8,COMMENT_CREATED,1.5,,1760263990,,
3,8,ITEM_UPVOTED,1.0,,1760264083,,
3,10,ITEM_UPVOTED,1.0,,1760264095,,
3,8,ITEM_UPVOTED,1.0,,1760264060,,
1,8,ITEM_UPVOTED,1.0,,1760266108,,
